t,psi_m,psi_l,nu
286.17187496956853,0.00013395595555194465,-3.15476174740707e-6,-63.00000435905975
286.1914062195867,0.00013510757452803756,-3.1805965365708276e-6,-63.00000456157456
286.2109374696049,0.0001361689161055809,-3.204271783204884e-6,-63.00000476597056
286.2304687196231,0.0001371352876796795,-3.2256778437068287e-6,-63.0000049718128
286.2499999696413,0.00013800207254764465,-3.2447070441766332e-6,-63.00000517863706
286.2695312196595,0.00013876475289718873,-3.2612542272060637e-6,-63.00000538594994
286.2890624696777,0.00013941893341400458,-3.275217312166869e-6,-63.00000559322975
286.30859371969586,0.0001399603653956085,-3.2864978667265797e-6,-63.00000579992733
286.32812496971405,0.00014038497124359552,-3.295001686147026e-6,-63.00000600546765
286.34765621973224,0.00014068886919123532,-3.300639376916927e-6,-63.00000620925092
286.36718746975043,0.000140868398110838,-3.303326941064942e-6,-63.00000641065496
286.3867187197686,0.00014092014223040467,-3.302986357044394e-6,-63.00000660903708
286.4062499697868,0.00014084095557738432,-3.299546152695938e-6,-63.0000068037369
286.425781219805,0.00014062798595641343,-3.292941965654696e-6,-63.00000699407915
286.4453124698232,0.00014027869825758711,-3.2831170862767764e-6,-63.00000717937679
286.4648437198414,0.00013979089688469565,-3.2700229782526764e-6,-63.00000735893464
286.4843749698596,0.00013916274708591575,-3.2536197716886157e-6,-63.00000753205316
286.50390621987776,0.00013839279496625262,-3.2338767231578713e-6,-63.00000769803246
286.52343746989595,0.00013747998595968407,-3.210772637942678e-6,-63.00000785617657
286.54296871991414,0.00013642368154001514,-3.1842962486553787e-6,-63.00000800579813
286.56249996993233,0.00013522367395357469,-3.1544465458311663e-6,-63.00000814622291
286.5820312199505,0.00013388019876427854,-3.121233055066738e-6,-63.00000827679457
286.6015624699687,0.00013239394501173596,-3.0846760564902477e-6,-63.00000839687988
286.6210937199869,0.00013076606279580812,-3.0448067419967742e-6,-63.000008505873446
286.6406249700051,0.0001289981681179702,-3.0016673064202298e-6,-63.00000860320262
286.6601562200233,0.00012709234482950198,-2.9553109695256748e-6,-63.000008688332606
286.6796874700415,0.00012505114355857678,-2.905801925613837e-6,-63.00000876077092
286.69921872005966,0.00012287757751337552,-2.8532152188182978e-6,-63.00000882007228
286.71874997007785,0.00012057511508736771,-2.7976365423395547e-6,-63.000008865842844
286.73828122009604,0.00011814766922209273,-2.7391619612259816e-6,-63.00000889774413
286.75781247011423,0.00011559958351562804,-2.677897558118597e-6,-63.00000891549695
286.7773437201324,0.00011293561509858677,-2.6139590031212095e-6,-63.0000089188846
286.7968749701506,0.00011016091433428612,-2.547471049436933e-6,-63.00000890775564
286.8164062201688,0.00010728100143635495,-2.478566957068808e-6,-63.00000888202648
286.835937470187,0.00010430174013162597,-2.407387848061012e-6,-63.00000884168291
286.8554687202052,0.00010122930853267707,-2.3340819973779745e-6,-63.00000878678154
286.87499997022337,0.00009807016741865542,-2.2588040643591854e-6,-63.00000871745031
286.89453122024156,0.00009483102615602288,-2.18171427061186e-6,-63.00000863388853
286.91406247025975,0.00009151880652191841,-2.1029775304944415e-6,-63.00000853636634
286.93359372027794,0.00008814060472103131,-2.0227625417106914e-6,-63.000008425223264
286.95312497029613,0.00008470365191238637,-1.9412408433118053e-6,-63.00000830086643
286.9726562203143,0.0000812152735838931,-1.858585849409316e-6,-63.00000816376802
286.9921874703325,0.00007768284813002878,-1.7749718671132755e-6,-63.000008014462196
287.0117187203507,0.00007411376500139768,-1.6905731074885558e-6,-63.0000078535413
287.0312499703689,0.00007051538280271357,-1.605562698208916e-6,-63.000007681651766
287.0507812203871,0.00006689498772049528,-1.5201117075098781e-6,-63.00000749948934
287.07031247040527,0.00006325975265876599,-1.4343881876296176e-6,-63.000007307794114
287.08984372042346,0.000059616697455821646,-1.3485562471498396e-6,-63.00000710734502
287.10937497044165,0.00005597265054285995,-1.2627751598261055e-6,-63.00000689895391
287.12890622045984,0.000052334212388626276,-1.1771985188876014e-6,-63.000006683459944
287.14843747047803,0.00004870772105389928,-1.0919734434099531e-6,-63.00000646172307
287.1679687204962,0.00004509922015374526,-1.0072398438696206e-6,-63.00000623461811
287.1874999705144,0.00004151442949651414,-9.231297529598423e-7,-63.0000060030285
287.2070312205326,0.00003795871863605044,-8.397667270519315e-7,-63.00000576784012
287.2265624705508,0.000034437083537685296,-7.572653225590088e-7,-63.00000552993524
287.246093720569,0.0000309541265217998,-6.757306510005144e-7,-63.000005290186834
287.26562497058717,0.00002751403960831439,-5.952580148500355e-7,-63.00000504945313
287.28515622060536,0.00002412059134640593,-5.159326263985146e-7,-63.00000480857225
287.30468747062355,0.000020777117172114054,-4.3782940997600115e-7,-63.00000456835757
287.32421872064174,0.00001748651329726161,-3.610128873228529e-7,-63.00000432959306
287.3437499706599,0.000014251234093091306,-2.8553714492162576e-7,-63.00000409302979
287.3632812206781,0.000011073292894744303,-2.1144588135539776e-7,-63.000003859382
287.3828124706963,7.954266117653652e-6,-1.387725315797251e-7,-63.00000362932439
287.4023437207145,4.8953005431530134e-6,-6.754046481404334e-8,-63.000003403489714
287.4218749707327,1.9008611005517943e-6,2.2367485584264704e-9,-63.00000318246672
287.4414062207509,1.0332300851388472e-6,7.055500567777345e-8,-63.00000296679874
287.46093747076907,3.905734697686324e-6,1.374192810333636e-7,-63.000002756983
287.48046872078726,6.7177140367431526e-6,2.028431831677118e-7,-63.00000255346989
287.49999997080545,9.469960780720427e-6,2.668484644697432e-7,-63.000002356663266
287.51953122082364,0.000012163597864298816,3.294644900150658e-7,-63.00000216692072
287.5390624708418,0.000014800055049619793,3.907276721726559e-7,-63.00000198455466
287.55859372086,0.000017381044219067324,4.506808774148829e-7,-63.000001809833456
287.5781249708782,0.000019908533660218985,5.093728114464998e-7,-63.000001642983136
287.5976562208964,0.000022384976805618716,5.668573891316547e-7,-63.00000148418907
